Incident,PERIL,SUBURB,ITEM_TYPE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_YEAR,INCIDENT_DATE_TIME,CLAIM_AMOUNT,ITEM_CATEGORY,ITEM_PERIL_DESCR,SUBURB_RAW,SUBURB_CLEAN,amount_valid,time_reliable
INC-9981,Theft,WALMER,Vehicle,RENAULT,DUSTER 1.6 DYNAMIQUE-2013-2018,2014.0,2022-12-29 13:00:00,1155.75,Motor Vehicle - Theft,Theft,WALMER,WALMER,True,True
INC-9982,Burglary,AERORAND,Contents,,,,2022-12-29 10:54:00,19034.99,Home contents - Theft,Theft,AERORAND,AERORAND,True,True
INC-9983,Theft,PRETORIA CENTRAL,Vehicle,BMW,323i EXCLUSIVE (E90)-2005-2007,2006.0,2022-12-29 09:00:00,1028.13,Motor Vehicle - Theft,Theft,PRETORIA CENTRAL,PRETORIA CENTRAL,True,True
INC-9984,Theft,CAPE TOWN CITY CENTRE,Vehicle,HYUNDAI,i20 1.2 MOTION-2012-2015,2013.0,2022-12-29 09:00:00,4134.25,Motor Vehicle - Theft,Theft,CAPE TOWN CITY CENTRE,CAPE TOWN CITY CENTRE,True,True
INC-9985,Theft,MILL PARK,Contents,,,,2022-12-29 01:00:06,20576.13,Home contents - Theft,Theft,MILL PARK,MILL PARK,True,True
INC-9986,Theft,MEREDALE,Contents,,,,2022-12-29 00:00:00,160809.26,Home contents - Theft,Theft,MEREDALE,MEREDALE,True,False
INC-9988,Theft,SANDOWN,Vehicle,TOYOTA,PRADO VX-L 2.8GD A/T-2020-,2022.0,2022-12-28 22:22:00,626429.28,Motor Vehicle - Theft,Theft,SANDOWN,SANDOWN,True,True
INC-9989,Theft,BRINDHAVEN,Vehicle,SUZUKI,SWIFT 1.4 SE-2012-2016,2013.0,2022-12-28 17:25:00,5581.93,Motor Vehicle - Theft,Theft,BRINDHAVEN,BRINDHAVEN,True,True
INC-9990,Theft,BEVERLEY,Contents,,,,2022-12-28 15:30:00,22243.0,Home contents - Theft,Theft,BEVERLEY,BEVERLEY,True,True
INC-9991,Theft,NORTHGATE,Vehicle,KIA,SONET 1.5 EX CVT-2021-,2021.0,2022-12-28 14:30:00,2138.2,Motor Vehicle - Theft,Theft,NORTHGATE,NORTHGATE,True,True
INC-9992,Theft,ORLANDO WEST,Vehicle,VOLKSWAGEN,POLO 1.0 TSI COMFORTLINE DSG-2017-2023,2021.0,2022-12-28 14:30:00,1010.85,Motor Vehicle - Theft,Theft,ORLANDO WEST,ORLANDO WEST,True,True
INC-9993,Theft,KENMARE,Contents,,,,2022-12-28 12:41:00,93598.08,Home contents - Theft,Theft,KENMARE,KENMARE,True,True
INC-9994,Theft,GREYTON,Contents,,,,2022-12-28 10:05:17,39485.64,Home contents - Theft,Theft,GREYTON,GREYTON,True,True
INC-9995,Theft,MBOMBELA,Contents,,,,2022-12-28 10:00:00,85871.0,Home contents - Theft,Theft,MBOMBELA,MBOMBELA,True,True
INC-9996,Theft,AMALINDA,Contents,,,,2022-12-28 09:00:00,16006.0,Home contents - Theft,Theft,AMALINDA,AMALINDA,True,True
INC-9997,Theft,PRETORIA GARDENS,Vehicle,TOYOTA,HILUX 2.8 GD-6 RAIDER 4X4 P/U E/CAB-2018-2021,2019.0,2022-12-28 08:12:40,7508.7,Motor Vehicle - Theft,Theft,PRETORIA GARDENS,PRETORIA GARDENS,True,True
INC-9999,Theft,BENONI,Contents,,,,2022-12-28 06:30:00,45197.0,Home contents - Theft,Theft,BENONI,BENONI,True,True
INC-10000,Theft,STELLENBERG,Contents,,,,2022-12-28 02:00:00,23338.0,Home contents - Theft,Theft,STELLENBERG,STELLENBERG,True,True
INC-10001,Theft,NEWLANDS,Contents,,,,2022-12-28 00:00:00,4998.0,Home contents - Theft,Theft,NEWLANDS,NEWLANDS,True,False
INC-10002,Collision,MONTE VISTA,Contents,,,,2022-12-27 23:00:00,10297.9,Home contents - Theft,Theft,MONTE VISTA,MONTE VISTA,True,True
