Incident,PERIL,SUBURB,ITEM_TYPE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_YEAR,INCIDENT_DATE_TIME,CLAIM_AMOUNT,ITEM_CATEGORY,ITEM_PERIL_DESCR,SUBURB_RAW,SUBURB_CLEAN,amount_valid,time_reliable,METRO
INC-2593,Theft,CAPE TOWN CITY CENTRE,Vehicle,BMW,X5 xDRIVE30d M-SPORT A/T (F15)-2014-2018,2016.0,2025-04-03 19:21:00,4035.85,Motor Vehicle - Theft,Theft,CAPE TOWN CITY CENTRE,CAPE TOWN CITY CENTRE,True,True,Cape Town
INC-2594,Theft,CAPE TOWN CITY CENTRE,Contents,,,,2025-04-03 19:21:00,1840.0,Home contents - Theft,Theft,CAPE TOWN CITY CENTRE,CAPE TOWN CITY CENTRE,True,True,Cape Town
INC-2597,Theft,SOMERSET WEST,Contents,,,,2025-04-03 11:12:00,3679.0,Home contents - Theft,Theft,SOMERSET WEST,SOMERSET WEST,True,True,Cape Town
INC-2600,Theft,BEDFORDVIEW,Contents,,,,2025-04-03 00:00:00,18327.0,Home contents - Theft,Theft,BEDFORDVIEW,BEDFORDVIEW,True,False,Gauteng
INC-2619,Theft,TABLE VIEW,Contents,,,,2025-03-31 23:00:00,8250.0,Home contents - Theft,Theft,TABLE VIEW,TABLE VIEW,True,True,Cape Town
INC-2623,Theft,MENLO PARK,Vehicle,TOYOTA,FORTUNER 2.4GD-6 R/B A/T-2016-2020,2020.0,2025-03-31 00:05:00,145960.2,Motor Vehicle - Theft,Theft,MENLO PARK,MENLO PARK,True,True,Gauteng
INC-2624,Theft,MENLO PARK,Contents,,,,2025-03-31 00:05:00,1405.69,Home contents - Theft,Theft,MENLO PARK,MENLO PARK,True,True,Gauteng
INC-2629,Theft,SEA POINT,Vehicle,RENAULT,DUSTER 1.5 dCI DYNAMIQUE-2013-2018,2015.0,2025-03-30 10:00:00,22013.13,Motor Vehicle - Theft,Theft,SEA POINT,SEA POINT,True,True,Cape Town
INC-2633,Theft,NEWLANDS,Contents,,,,2025-03-29 14:45:00,17626.0,Home contents - Theft,Theft,NEWLANDS,NEWLANDS,True,True,Cape Town
INC-2651,Theft,RONDEBOSCH,Vehicle,TOYOTA,FORTUNER 2.8GD-6 4X4 A/T-2016-2020,2019.0,2025-03-27 08:30:00,17859.76,Motor Vehicle - Theft,Theft,RONDEBOSCH,RONDEBOSCH,True,True,Cape Town
INC-2653,Theft,SEA POINT,Contents,,,,2025-03-27 03:00:00,48701.92,Home contents - Theft,Theft,SEA POINT,SEA POINT,True,True,Cape Town
INC-2660,Theft,WATERKLOOF RIDGE,Vehicle,VOLKSWAGEN,POLO VIVO 1.4 COMFORTLINE (5DR)-2019-,2022.0,2025-03-26 14:29:00,105007.44,Motor Vehicle - Theft,Theft,WATERKLOOF RIDGE,WATERKLOOF RIDGE,True,True,Gauteng
